Name,Review,Price($)
Colorful Star Slimshell Case for Kindle Paperwhite 10th Generation 2018 - PU Leather Kindle Paperwhite Covers for All-New Kindle Paperwhite E-Reader - Succulent Flowers,4.5,14.99
"Likebook P6 E-Reader, The Newest 6 Inch 300PPI HD E-Ink Screen Ereader, Android 8.1, 1GB+16GB, Expandable Micro SD Card up to 128GB, PDF Reader, high-Speed Data Transfer",4.0,
"VANKYO MatrixPad Z1 Kids Tablet 7 inch, 32GB ROM, Kidoz Pre Installed, IPS HD Display, WiFi Android Tablet, Kid-Proof, Blue",4.0,76.99
"Tablet 10 Inch HD, Dual SIM/WiFi, Android 9.0 Pie Tablet, 32GB ROM/128GB Expand, Quad-Core Processor, 6000mAh Battery, Dual Camera, Bluetooth/GPS/OTG Google Certified Tablet PC【2020 Newest Black】",3.7,111.99
Amazon.com Gift Card in a Greeting Card (Various Designs),4.9,10.00
"Fire HD 10 Tablet (32 GB, Twilight Blue, With Special Offers) + Amazon Standing Case (Twilight Blue) + 15W USB-C Charger",4.8,205.97
"Android 10.0 Tablet, Vastking Kingpad SA10 Octa-Core Processor, 3GB RAM, 32GB Storage, 10-inch, 1920x1200 IPS, 5G Wi-Fi, GPS, 13MP Camera, Bluetooth, Blue Light Filter Screen, Silver Grey",4.5,153.99
"AVAZI Wireless Earbuds, Premium Quality Sport IPX7 Waterproof Wireless Sport Bluetooth Headphones, Richer Bass HiFi Stereo in-Ear Earphones, 7-9 Hrs, for Kindle, Running, Gym w/Noise Cancelling Mic",4.1,32.95
"Fire HD 8 Kids Edition tablet 2-pack, 8"" HD display, 32 GB, Blue/Purple Kid-Proof Case",4.8,279.98
"Kids Tablet 7 inch, WiFi Android 9.0 Pie Tablet for Kids, 2GB RAM 16GB ROM, Kid Edition Tablets, Parental Control, Education Apps Pre Installed, Dual Camera, 7” HD Display, Kids- Proof Case, Pink",4.2,65.59
"Tablet 10.1 inch Android Tablet with 2GB+32GB, 3G Phone Tablets & Dual Sim Card & 2MP+ 5MP Dual Camera, Quad Core Processor, 1280x800 IPS HD Display,GPS, FM (Silver)",3.8,111.99
"Lectrus Tablet 10 inch Android 8.1 Go, Quad-Core & 1.3GHz, 5G WiFi Tablets PC with Dual Cameras, 800x1280 Touch Screen Full HD Display, 16GB, 6000mAh Battery, Bluetooth, FM, YouTube, Black",3.9,105.99
"Case Fits All-New Kindle 10th Generation 2019, AIRWEE Slim PU Leather Shell Protective Cover with Auto Wake/Sleep, Will Not Fit Kindle Paperwhite 10th Gen 2018,Colorful Pineapple",3.9,20.99
"Case for Kindle Paperwhite 4 2018, AIRWEE PU Leather Shell Protective Cover with Auto Wake/Sleep for Amazon Kindle Paperwhite 10 Gen 2018 (with Free Laptop Elephant Sticker), Fire and Ice Sportball",,16.99
Yoidesu Audio Bible Player Solar Charging E-Bible eReader Tablet Built-in 4G Capacity 350mAh Battery (English Blue),3.5,36.78
Thosdt Ultra Slim Thin PU Leather Cover Sleeve Case for Barnes & Noble Nook 2/3 Case for Nook Simple Touch Nook Glowlight (BLACK),4.5,9.99
Tablet 10 inch Google Android 9.0 Pie OS 1280x800 IPS Display 4GB RAM 64GB Storage Dual Camera Quad-Core Processor 10.1 inch Tablets with WiFi Bluetooth GPS,3.6,92.99
Kindle,1.7,0.00
"Android Tablet 8 inch,2GB RAM 16G ROM/128GB Expand,Quad-Core Processor,1280x800 HD IPS Display,8MP+5MP Dual Camera,Wi-Fi,Bluetooth,GPS(Silver, Metal Material)",4.3,89.99
"Certified Refurbished Kindle Paperwhite Bundle including Kindle Paperwhite - Wifi, Amazon exclusive The Ballad of Songbirds and Snakes Cover, and Power Adapter",,159.97
"Tablet 10 inch+Customized Case, Android 8.1 Go, 10.1"" 5G WiFi Tablets,6000mAh Battery,Quad-Core Processor, 800x1280 Touch Screen Full HD Display,1.3GHz,16GB, Bluetooth,Black",,115.99
"Samsung Galaxy Tab S 8.4-Inch Tablet (16 GB, Dazzling White) (Renewed)",3.3,
"VANKYO MatrixPad S10 10 inch Tablet, 2 GB RAM, 32 GB Storage, Quad-Core Processor, Android OS, 10.1"" IPS HD Display, Wi-Fi, USB Type C Port, GPS, FM, Slate Black",4.4,109.99
"Fire HD 10 Tablet (10"" Full HD Display, Alexa Hands-Free, 32 GB, Red) with Amazon Smart Plug",,174.98
"LLLCCORP 10"" Tablet Android 8.1 Quad Core 1.3Ghz Dual SIM Card Slots 4GB RAM 64GB ROM Built in WiFi Bluetooth GPS (Silver)",3.7,95.99
"Certified Refurbished Kindle Paperwhite Bundle including Kindle Paperwhite - Wifi, Amazon exclusive The Hunger Games Cover, and Power Adapter",,189.97
"Fire HD 8 Kids Edition tablet 2-pack, 8"" HD display, 32 GB, Blue/Pink Kid-Proof Case",4.8,279.98
"VANKYO MatrixPad Z1 Kids Tablet 7 inch, 32GB ROM, Kidoz Pre Installed, IPS HD Display, WiFi Android Tablet, Kid-Proof, Blue",4.0,76.99
"Samsung Galaxy 8"" Tab A Wi-Fi Tablet 64GB (32GB built-in + 32GB SDcard), Silver, SM-T290NZSCXAR (Renewed)",4.6,133.00
"10 inch Android Google Tablet, Android 9.0 Pie, GMS Certified, 2GB RAM, 32GB Storage, Quad-Core Processor, IPS HD Display, Wi-Fi, Bluetooth, GPS",3.6,129.99
"Panda Kids Tablet, 2GB RAM & 16GB ROM, 7 inch HD Display Android 9.0, Panda Toddler Tablet , Parental Controls, Educational Games, Great Gift for Kids",3.9,69.98
"2PCS Adjustable Cell Phone Stand, Foldable Portable Phone Pad Stand, Phone Holder for Desk, Desktop Tablet Stand Compatible with iPhone 11 Pro XS Max XR X Samsung S10 S9 & All 4""-7.9"" Pad Tablets",4.8,13.11
"Tech2 Juice Wireless Charger Qi-Certified 7.5W Wireless Charging Compatible iPhone Xs MAX/XR/XS/X/8/8 Plus,10W Compatible Galaxy Note 9/S9/S9 Plus/Note 8/S8,5W Qi-Enabled (White Charging Pad)",3.7,19.99
ED060SC7 New Replacement LCD Screen for Kindle 3 / Kindle Keyboard/Kindle Keyboard 3G,5.0,
"Certified Refurbished Kindle Paperwhite Bundle including Kindle Paperwhite - Wifi, Amazon exclusive The Ballad of Songbirds and Snakes Cover, and Power Adapter",4.4,159.97
"Certified Refurbished Kindle Paperwhite Bundle including Kindle Paperwhite - Wifi, Amazon exclusive The Hunger Games Cover, and Power Adapter",4.7,159.97
"Lectrus Android Tablet 10 inch, Quad-Core, 16GB Storage, Dual Band 5G/2.4G WiFi, Dual Cameras & Speakers, 1280800 IPS HD Display, SD Card Slot, Support OTG, USB, GPS, Bluetooth, FM, 6000mAh - Silver",3.8,99.97
2016 Newest Premium High Performance RCA Voyager 7 16GB Touchscreen Tablet Computer Quad-Core 1.2Ghz Processor 1G Memory 16GB Hard Drive Webcam Wifi Bluetooth Android 6.0-Pink,3.5,57.99
"Likebook Mars E-Reader, Free Original case Screen Protector 7.8'' Carta 300ppi E-Ink Touchscreen 8 Core, Warm/Cold Light Audiojack, 2GB RAM+16GB Storage Android 8.1",3.6,209.00
"10 inch Android WiFi Tablet, Android 9.0 Pie, GMS Certified, Quad Core 64 bit, 4GB RAM, 64GB Storage, IPS HD Display, Bluetooth, GPS",3.5,98.99
kindle 8 generation 2018 model ebook (kindle 8 generation 2018 model ebook),,
The Spider on the Ceiling: An Anna Newsom Mystery,4.6,0.00
"VANKYO MatrixPad S8 Tablet 8 inch, Android 9.0 Pie, 2 GB RAM, 32 GB Storage, IPS HD Display, Quad-Core Processor, Dual Camera, GPS, FM, Wi-Fi, Black",4.4,86.99
"ED060KD1 LCD for Kindle Paperwhite 3 Display E-Reader - Black, 6"" High-Resolution Display (300ppi) with BuiKindle paperwhitw2015",,
"Kindle Paperwhite Bundle including Kindle Paperwhite - Wifi, Ad-Supported, Amazon exclusive The Ballad of Songbirds and Snakes Cover, and Power Adapter",3.6,189.97
"Certified Refurbished Fire HD 8 Tablet (8"" HD Display, 16 GB) - Black with Show Mode Charging Dock",4.4,89.99
"Certified Refurbished Kindle Paperwhite Bundle including Kindle Paperwhite - Wifi, Amazon exclusive The Hunger Games Cover, and Power Adapter",,159.97
Pink Carbon Fiber Durable Slim Protective Eva Storage Cover Cube Carrying Case with Mesh Pocket for for Amazon Kindle Touch (Wi Fi 6 inch E Ink Display) and a Pocket 2 Way Tablet Stand,,25.00
ED060SCF 100% New Eink for Amazon Kindle 4 Kindle 4 K4 do1100 D01100 LCD Display Screen for Reading e-Books 800 600 6 inches F,,
ED070KC2 Amazon Kindle Oasis 2 Generation 7 Inch E-Book Reader Repair Screen Original,,
"Original New 6"" ED060SCN(LF) T1 LCD Screen for Amazon Kindle 5 E-Book Reader LCD Display",,
Test Product NFS (Rakia 8GB/Premium Leather),2.0,209.97
Lysee Mobile Phone LCD Screens - ED060SCF ED060SCF(LF)T1 LCD Screen Display Panel for Amazon Kindle 4 Kindle4 E-book Ebook Reader,,146.29
"Kids Tablet, Android 9.0 GO Kids Learning Tablets 9 inch IPS HD Eye Protaction Display, 3GB RAM & 32GB ROM for Home School Education - Google Certified Pre-Loaded Children Educational Apps (Orange)",4.0,93.99
ED060SCP kindle6 Kindle 6 k6 WP63GW 100% New eink LCD Display Screen for ebook Reader 6 inch 800600,,
Kindle (Japanese Edition),,0.00
"2pcs Lightwedge Verso OMG! Duct Tape Made for Kindle & All Other 7"" Tablet Cases",,
"Samsung Galaxy Tab A 7""; 8 GB Wifi Tablet (White) SM-T280NZWAXAR",4.3,
"M Edge Kindle Case 4 Piece Bundle Set Stylus Pen, Power Bank Charger, Hands-Free Earphone with Built-in Mic",,
"Samsung Galaxy Tab S2 8""; 32 GB Wifi Tablet (Black) SM-T713NZKEXAR",4.4,
Octa Core 2G RAM 32G ROM 4G LTE 8 Inch Android 9.0 Tablet,,
KINDLE: AMAZON PRIME AND THE LENDING LIBRARY ...free movie download ...free tv series ...free books ...free shipping...and more �,2.9,2.99
"Android Tablet 10 Inch, Google Android 8.0 Unlocked Tablet PC with Dual SIM Card Slots, 3G Phone Support, Octa Core Processor, 64GB, 2MP+8MP Dual Camera, WiFi, Bluetooth, GPS (Black)",3.8,99.99
"2020 New Android Tablet 10 Inch, Android 9.0 Pie, GMS Certified, 4GB RAM 64GB Storage, Quad-Core Processor, IPS HD Display, Wi-Fi, Bluetooth, GPS",3.2,129.99
"Skylanders Trap Team Tablet Starter Pack - iOS, Android, & Fire OS",3.5,
"WorryFree Gadgets 7"" Kids Tablet Computer, Android 7.1, Quad Core CPU, 8GB Hard Drive, Pre-Installed Games and Apps, Wi-Fi, Dual Camera - Orange",,71.39
"RCA Tablet with 8GB Memory 9"" | RCT6691W3",3.6,
KINDLE: Amazon Prime and the Lending Library,3.1,2.99
"iRULU eXpro 1S Tablet PC,Android 6.0 Quad Core 1024x600 Dual Camera Wi-Fi Bluetooth,1GB/8GB,Play Store Netfilix Skype 3D Game Supported GMS Certified with One Year Warranty",3.2,
