,Name + autors,Fields,Date,Abstract,Citations,PDF link
12,Pattern Recognition and Machine Learning Neal/3bb5a439a0d610a7eac68f73068cdd278b8c9775,"Computer Science, Mathematics",1 August 2007,This book covers a broad range of topics for regular factorial designs and presents all of the material in very mathematical fashion.   ,18277,https://doi.org/10.1198/tech.2007.s518
13,Genetic Algorithms in Search Optimization and Goldberg/2e62d1345b340d5fda3b092c460264b9543bc4b5,Computer Science,1988,"From the Publisher:  This book brings together - in an informal and tutorial fashion - the computer techniques, mathematical tools, and research results that will enable both students and practitioners to apply genetic algorithms to problems in many fields.   ",55165,https://doi.org/10.5860/choice.27-0936
14,Techniques for interpretable machine learning Du Liu/3df952d4a724655f7520ff95d4b2cef90fff0cae,"Computer Science, Mathematics",31 July 2018,   ,209,http://dl.acm.org/citation.cfm?id=3359786
15,Optimization Methods for Large Scale Machine Bottou Curtis/d21703674ae562bae4a849a75847cdd9ead417df,"Computer Science, Mathematics",15 June 2016,"This paper provides a review and commentary on the past, present, and future of numerical optimization algorithms in the context of machine learning applications.",1222,https://arxiv.org/pdf/1606.04838.pdf
16,Multimodal Machine Learning%3A A Survey and Taxonomy Baltru%C5%A1aitis Ahuja/6bc4b1376ec2812b6d752c4f6bc8d8fd0512db91,"Computer Science, Medicine",26 May 2017,We identify and explore five core technical challenges (and related sub-challenges) surrounding multimodal machine learning .,632,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8269806
17,Machine learning Dietterich/aab43c9c33af00b718cf2ae374b861d49862a563,Computer Science,1 December 1996,"is the study of methods for programming computers to learn to perform perceptual tasks, such as speech recognition, hand-writing recognition, and natural language understanding. Machine Learning ",13608,http://dl.acm.org/citation.cfm?id=242229
18,Federated Machine Learning%3A Concept and Yang Liu/c38e83a9d0fe7005183f3c5bedf32a23df1b579b,Computer Science,13 February 2019,"We introduce a comprehensive secure federated learning Learning framework, which includes horizontal federated",403,
19,Adversarial Machine Learning at Scale Kurakin Goodfellow/e2a85a6766b982ff7c8980e57ca6342d22493827,"Computer Science, Mathematics",3 November 2016,Adversarial examples are malicious inputs designed to fool machine learning models.,1287,https://arxiv.org/pdf/1611.01236.pdf
20,Data mining%3A practical machine learning tools and Witten Frank/6cf98b123feac6504b0dc3a8b46e1462dd69121e,Computer Science,11 October 1999,Data Mining: Practical Machine Learning Tools and Techniques offers a thorough grounding in,11760,https://www.worldcat.org/oclc/262433473
21,Practical Black Box Attacks against Machine Papernot McDaniel/53b047e503f4c24602f376a774d653f7ed56c024,Computer Science,8 February 2016,We demonstrate that black-box attacks against DNN classifiers are practical for real-world adversaries with no such knowledge.   ,1606,http://dl.acm.org/citation.cfm?id=3053009
22,An Introduction to Machine Learning Kubat/73f15adaeb9d59cf83e6f556500ab9e54d6487c6,Computer Science,2017,"The USPS uses digit recognition, a machine learning technique, to read hand-written ZIP codes on envelopes using thousands of images of the digit ’0’.",1432,https://doi.org/10.1007/978-3-319-63913-0
23,Pattern Recognition and Machine Learning Science Bishop/932a106c21a1db1e1876459c1521d27fd152caac,Computer Science,1 August 2006,"We have pattern recognition and machine learning information science and statistics to read, not only read, but also download them or even check out online.",7796,
24,Reconciling modern machine learning practice and Belkin Hsu/f86f1748d1b6d22870f4347fd5d65314ba800583,"Medicine, Computer Science",24 July 2019,"We provide evidence for the existence and ubiquity of double descent for a wide spectrum of models and datasets, and we posit a mechanism for its emergence.   ",282,https://doi.org/10.1073/pnas.1903070116
25,Machine learning in automated text categorization Sebastiani/6b20af22b0734757d9ead382b201a65f9dd637cc,Computer Science,26 October 2001,"The automated categorization (or classification) of texts into predefined categories has witnessed a booming interest in the last 10 years, due to the increased availability of documents in digital form and the ensuing need to organize them.   ",8090,http://dl.acm.org/citation.cfm?id=505283
26,Pattern Recognition and Machine Learning Bishop Nasrabadi/668b1277fbece28c4841eeab1c97e4ebd0079700,Computer Science,17 August 2006,Probability Distributions.- Linear models for Regression.- Linear Models for Classification.- Neural Networks.- Kernel Methods.- Sparse Kernel Machine  s.- Graphical Models.- Mixture Models and EM.- Approximate Inference.- Sampling Methods.- Continuous Latent Variables.- Sequential Data.- Combining Models.,9083,https://doi.org/10.1117/1.2819119
27,ilastik%3A interactive machine learning for analysis Berg Kutra/5d433da6d0f143f20936379910104d2bb139d4ae,"Computer Science, Medicine",30 September 2019,"We present ilastik, an easy-to-use interactive tool that brings machine learning -",274,https://doi.org/10.1038/s41592-019-0582-9
28,Thumbs up Sentiment Classification using Machine Pang Lee/12d0353ce8b41b7e5409e5a4a611110aee33c7bc,Computer Science,27 May 2002,"We consider the problem of classifying documents not by topic, but by overall sentiment, e.g., determining whether a review is positive or negative.   ",7763,https://www.aclweb.org/anthology/W02-1011.pdf
29,Towards A Rigorous Science of Interpretable Machine Doshi Velez Kim/5c39e37022661f81f79e481240ed9b175dec6513,"Computer Science, Mathematics",28 February 2017,We propose a taxonomy for rigorous evaluation and expose open questions towards a more rigorous science of interpretable machine learning .,1201,https://arxiv.org/pdf/1702.08608.pdf
30,UCI Repository of machine learning databases Blake/e068be31ded63600aea068eacd12931efd2a1029,Computer Science,1998,   ,12997,
31,Understanding Machine Learning From Theory to Shalev Shwartz Ben David/ce615ae61d67db8537e981a0a08da7f0f2ff1cee,Computer Science,19 May 2014,"is one of the fastest growing areas of computer science, with far-reaching applications. Machine learning ",2173,http://www.cambridge.org/de/academic/subjects/computer-science/pattern-recognition-and-machine-learning/understanding-machine-learning-theory-algorithms
32,Machine learning and the physical sciences Carleo Cirac/a9cbbef8f4426329d0687025b34287c35bdd8b38,Physics,25 March 2019,   ,285,https://arxiv.org/pdf/1903.10563.pdf
33,Machine Learning for Fluid Mechanics Brunton Noack/4087e84fc695bb6433d0104ee94f9d7e9f4b7da5,"Computer Science, Physics",27 May 2019,"This paper presents an overview of past history, current developments, and emerging opportunities of machine learning for fluid mechanics.",248,https://arxiv.org/pdf/1905.11075.pdf
34,Automated Machine Learning%3A Methods%2C Systems%2C Hutter Kotthoff/47f2f60995e4393ad689233ee870e1e0707d4d60,Computer Science,2019,"This open access book presents the first comprehensive overview of general methods in Automatic Machine Learning (AutoML), collects descriptions of existing systems based on these methods, and discusses the first international challenge of AutoML systems.",235,https://doi.org/10.1007/978-3-030-05318-5
35,Interpretable Machine Learning Martin/b0c34618ffd1154f35863e2ce7250ac6b6f2c424,,2019,   ,270,
36,A Survey on Bias and Fairness in Machine Learning Mehrabi Morstatter/3a60ce89788ebb10676ef12e8bd8935ffa0cba2f,"Computer Science, Mathematics",23 August 2019,"We review research investigating how biases in data skew what is learned by machine learning algorithms, and we listed different sources of biases that can affect AI applications.",248,https://arxiv.org/pdf/1908.09635.pdf
37,A high bias%2C low variance introduction to Machine Mehta Bukov/cbc2547ad8940160d2d62826c0ff48c6c390725e,"Computer Science, Physics",23 March 2018,(ML) is one of the most exciting and dynamic areas of modern research and application. Machine Learning ,239,https://www.ncbi.nlm.nih.gov/pubmed/31404441
38,Applications of machine learning in drug discovery Vamathevan Clark/b5904cd5dbf73b8d5ff13517de490c292d877ee0,"Computer Science, Medicine",1 June 2019,has been applied to numerous stages in the drug discovery pipeline. Machine learning ,209,https://doi.org/10.1038/s41573-019-0024-5
39,Adversarial attacks on medical machine learning Finlayson Bowers/ac644a74a0ebc8cfbe1b0af8120004909828d283,"Computer Science, Medicine",22 March 2019,A new category of vulnerabilities in machine learning -,171,https://doi.org/10.1126/science.aaw4399
40,Speeding Up Distributed Machine Learning Using Lee Lam/262c0e54370dfc03a7ad53d79930568d18dd448c,"Computer Science, Mathematics",8 December 2015,Codes are widely used in many engineering applications to offer <italic>robustness</italic>.   ,324,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8002642
41,Stop explaining black box machine learning models Rudin/bc00ff34ec7772080c7039b17f7069a2f7df0889,Computer Science,26 November 2018,"This Perspective clarifies the chasm between explaining black boxes and using inherently interpretable models, outlines several key reasons why explainable black boxes should be avoided in high-stakes decisions, identifies challenges to interpretable machine learning , and provides several example applications where interpretable model could potentially replace black box models in criminal justice, healthcare and computer vision.",666,https://doi.org/10.1038/S42256-019-0048-X
42,Membership Inference Attacks Against Machine Models Shokri Stronati/f0dcc9aa31dc9b31b836bcac1b140c8c94a2982d,"Computer Science, Mathematics",18 October 2016,We quantitatively investigate how machine learning models leak information about the individual data records on which they were trained.,958,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7958568
43,Recent advances and applications of machine in Schmidt Marques/0273507eb05f1135f3a05f9c7adc9a56f12c7c5c,,8 August 2019,   ,214,https://doi.org/10.1038/s41524-019-0221-0
44,Machine Learning in Medicine Rajkomar Dean/21dfbc88b21b27fe8a245ab1df98edd45f655ae7,"Medicine, Computer Science",3 April 2019,"in Medicine In this view of the future of medicine, patient–provider interactions are informed and supported by massive amounts of data from interactions with similar patients. Machine Learning ",155,https://doi.org/10.1056/NEJMra1814259
45,Federated Machine Learning Yang Liu/62ccd99a65bfc7c735ae1f33b75b107665de95df,Computer Science,28 January 2019,"We introduce a comprehensive secure federated- learning learning framework, which includes horizontal federated",249,http://dl.acm.org/citation.cfm?id=3298981
46,Data mining%3A practical machine learning tools and Witten Frank/26ae952599aa9ba5815a80356024258247fc2b10,Computer Science,1 March 2002,   ,5349,http://dl.acm.org/citation.cfm?id=507355
47,Large Scale Machine Learning with Stochastic Bottou/fbc6562814e08e416e28a268ce7beeaa3d0708c8,Computer Science,2010,A more precise analysis uncovers qualitatively different tradeoffs for the case of small scale and large-scale learning  problems.,3536,https://doi.org/10.1007/978-3-7908-2604-3_16
48,MLlib%3A Machine Learning in Apache Spark Meng Bradley/3784b73a1f392160523400ec0309191c0a96d86f,"Computer Science, Mathematics",26 May 2015,   ,1235,https://arxiv.org/pdf/1505.06807.pdf
49,A Detailed Investigation and Analysis of Using for Mishra Varadharajan/d294d5246e0dd8ed8bd9ec9d24a01fd4ece4fb3c,Computer Science,2019,A detailed investigation and analysis of various machine learning techniques have been carried out for finding the cause of problems associated with various,127,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8386762
50,A Survey of Machine Learning Techniques Applied to Xie Yu/a42e380e1b8aafecb3b1e338a8a9a579c6a5a40f,Computer Science,2019,"In recent years, with the rapid development of current Internet and mobile communication technologies, the infrastructure, devices and resources in networking systems are becoming more complex and heterogeneous.   ",134,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8444669
51,Machine Learning at Facebook%3A Understanding at the Wu Brooks/67df7bf02fe2d618c7c18448c2668a526dc4d423,Computer Science,26 March 2019,This paper takes a datadriven approach to present the opportunities and design challenges faced by Facebook in order to enable machine learning inference locally on smartphones and other edge platforms.,126,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8675201
52,SoilGrids250m%3A Global gridded soil information on Hengl Jesus/9e27190f2d9b2167d4a66b88696def4585072fd5,"Medicine, Environmental Science",16 February 2017,   ,869,https://pdfs.semanticscholar.org/9e27/190f2d9b2167d4a66b88696def4585072fd5.pdf
53,Hands On Machine Learning with Scikit Learn and and G%C3%A9ron/2936cbd6a90d7153a9fa34e8e4fd947907fe7f6c,Computer Science,18 April 2017,"We show you how to use TensorFlow, Scikit-learn, and scikit-learn to build and scale deep neural networks.   ",825,
54,Auto sklearn%3A Efficient and Robust Automated Feurer Klein/0fcd8359aa964a118adf10dd524a90d61e10048b,Computer Science,2019,"We introduce a robust new AutoML system based on the Python machine learning package scikit-learn, improves on existing AutoML methods by automatically taking into account past performance on similar datasets, and by constructing ensembles from the models evaluated during the optimization.",71,https://doi.org/10.1007/978-3-030-05318-5_6
55,Double%2FDebiased Machine Learning for Treatment and Chernozhukov Chetverikov/f75b70c9d7078724b592ec3e21de705e7b6ff73f,Mathematics,1 June 2017,   ,471,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2999543
56,Tackling Climate Change with Machine Learning Rolnick Donti/998039a4876edc440e0cabb0bc42239b0eb29644,"Computer Science, Mathematics",10 June 2019,"We identify high impact problems where machine learning can be applied with high impact in the fight against climate change, in collaboration with other fields.",134,https://arxiv.org/pdf/1906.05433.pdf
57,Wild Patterns%3A Ten Years After the Rise of Machine Biggio Roli/570cd3a4f2353c7391410d567a1615b7284d412d,Computer Science,8 October 2018,Deep neural networks and machine learning -,405,http://dl.acm.org/citation.cfm?id=3264418
58,Machine learning guided directed evolution for Yang Wu/730fba26faa7f91dc6742a0c3521eb439670a825,Medicine,27 November 2018,   ,122,https://doi.org/10.1038/s41592-019-0496-6
59,Programs for Machine Learning Salzberg Segre/7feb0fc888cd55360949554db032d7d1cba9e947,Computer Science,1994,"In his new book, C4.5: Programs for Machine Learning , Quinlan has put together a definitive, much needed description of his complete system, including the latest developments.",5918,
60,The use of the area under the ROC curve in the of Bradley/48ddd9101a90fe65e3061de69626741b843ff5e4,Computer Science,1 July 1997,In this paper we investigate the use of the area under the receiver operating characteristic (ROC) curve (AUC) as a performance measure for machine learning algorithms.,4312,https://doi.org/10.1016/S0031-3203%2896%2900142-2
61,Empirical Asset Pricing Via Machine Learning Gu Kelly/caf9e0fa2c340fb07cef8d547ea8849508e5c358,Computer Science,1 December 2018,We perform a comparative analysis of machine learning methods for the canonical problem of empirical asset pricing: measuring asset risk premia.,216,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3306110
62,Machine Learning for High Speed Corner Detection Rosten Drummond/e0408181bccb7e3754dd5e6785ec47d8beb8b6bd,Computer Science,7 May 2006,We show that machine learning can be used to derive a feature detector which can fully process live PAL video using less than 7% of the available processing time.,3640,https://doi.org/10.1007/11744023_34
63,Tensor Decomposition for Signal Processing and Sidiropoulos Lathauwer/eed9fa4483cab37eacd59db0fac4b1441431ee85,"Mathematics, Computer Science",6 July 2016,This overview article aims to provide a good starting point for researchers and practitioners interested in learning  about and working with tensors.,622,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7891546
64,Automatic differentiation in machine learning%3A a Baydin Pearlmutter/da118b8aa99699edd7609fbbd081d5b93bc2e87b,"Mathematics, Computer Science",20 February 2015,Automatic differentiation (AD) is a family of techniques similar to but more general than backpropagation for efficiently and accurately evaluating derivatives of numeric functions expressed as computer programs.   ,617,https://arxiv.org/pdf/1502.05767.pdf
65,Machine Learning%3A An Applied Econometric Approach Mullainathan Spiess/9d75cc322a4e06d0a3a868cb91b04219a289c12c,Computer Science,1 May 2017,"We present a way of thinking about machine learning that gives it its own place in the econometric toolbox by providing a crisper understanding of how these algorithms work, where they excel, and where they can stumble.",531,https://doi.org/10.1257/JEP.31.2.87
66,MoleculeNet%3A A Benchmark for Molecular Machine Wu Ramsundar/d0ab11de3077490c80a08abd0fb8827bac84c454,Computer Science,2 March 2017,MoleculeNet benchmarks demonstrate that learnable representations are powerful tools for molecular machine learning and broadly offer the best performance.,296,
67,Practical Secure Aggregation for Privacy Preserving Bonawitz Ivanov/db0cc2f21b20cbc0ab8946090967399c25709614,Computer Science,30 October 2017,"We design a novel, communication-efficient, failure-robust protocol for secure aggregation of high-dimensional data.   ",634,http://dl.acm.org/citation.cfm?id=3133982
68,MXNet%3A A Flexible and Efficient Machine Learning Chen Li/62df84d6a4d26f95e4714796c2337c9848cc13b5,Computer Science,3 December 2015,"MXNet is a multi language machine learning (ML) library to ease the development of ML algorithms, especially for deep neural networks.",1529,https://arxiv.org/pdf/1512.01274.pdf
69,Supervised Machine Learning%3A A Review of Techniques Kotsiantis/f1b962fb4070fedd46758e334db3ba4f00ddc3ec,Computer Science,10 June 2007,The goal of supervised learning  is to build a concise model of the distribution of class labels in terms of predictor features.,3340,http://www.informatica.si/index.php/informatica/article/view/148
70,The Marginal Value of Adaptive Gradient Methods in Wilson Roelofs/1ecc2bd0bc6ffa0a2f466a058589c20593e3e57c,"Computer Science, Mathematics",23 May 2017,"We show that for simple overparameterized problems, adaptive methods often find drastically different solutions than gradient descent (GD) or stochastic gradient descent.   ",550,https://arxiv.org/pdf/1705.08292.pdf
71,Extreme Learning Machine for Regression and Huang Zhou/739769f4862753fc80057194456d758d2a148ee3,"Computer Science, Medicine",1 April 2012,"A unified learning learning framework of LS-SVM, PSVM, and other regularization algorithms referred to extreme",3746,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6035797
72,The Impact of Machine Learning on Economics Athey/adade3149b2a6177296de352f003471eefa958b8,Computer Science,10 January 2018,"This paper provides an assessment of the early contributions of machine learning to economics, as well as predictions about its future contributions.",146,https://doi.org/10.7208/chicago%2F9780226613475.003.0021
73,Machine Learning in Agriculture%3A A Review Liakos Busato/6e23398447a022fb9495c44fa80e9de593a574bc,"Computer Science, Medicine",1 August 2018,"In this paper, we present a comprehensive review of research dedicated to applications of machine learning in agricultural production systems.",290,https://pdfs.semanticscholar.org/6e23/398447a022fb9495c44fa80e9de593a574bc.pdf
74,Machine learning for Internet of Things data A Mahdavinejad Rezvan/c7ce37d51ba01e17c9291f1dbf2ca8223b948b7f,Computer Science,12 October 2017,This article assesses the different machine learning methods that deal with the challenges in IoT data by considering smart cities as the main use case.,315,https://arxiv.org/pdf/1802.06305.pdf
75,A Survey of Machine Learning for Big Code and Allamanis Barr/960ba564e9e598d864dff38d2f3d0bad1b319ead,Computer Science,18 September 2017,We present a taxonomy based on the underlying design principles of each model and use it to navigate the literature.   ,302,http://dl.acm.org/citation.cfm?id=3212695
76,Feature selection in machine learning%3A A new Cai Luo/f6d9106b0e169204a506eb1deec2b85e0f296e4a,Computer Science,26 July 2018,"We survey supervised, unsupervised, and semi-supervised feature selection methods, which are widely applied in machine learning problems, such as classification and clustering.",287,https://doi.org/10.1016/j.neucom.2017.11.077
77,All optical machine learning using diffractive deep Lin Rivenson/5c7e5248d9eb7f373f10277410bf8506160907ea,"Computer Science, Physics",14 April 2018,We demonstrate an all-optical diffractive deep neural network (D2NN) architecture that uses passive optical components that can be patterned and fabricated with 3D-printing.   ,313,https://doi.org/10.1126/science.aat8084
78,Machine learning for molecular and materials Butler Davies/c292e473b3825eeb9db03c70b2e1c033aea190d5,"Chemistry, Materials Science",26 July 2018,   ,639,https://doi.org/10.1038/s41586-018-0337-2
79,Big Data and Machine Learning in Health Care. Beam Kohane/efca2a32ce9c7a808c2c3efcc2c3dac032dfc8ea,Medicine,3 April 2018,   ,371,https://www.ncbi.nlm.nih.gov/pubmed/29532063
80,Implementation of machine learning classification Maxwell Warner/b3de1062d8a462dfdc2938558258f8884abe9f4e,Computer Science,2 February 2018,We present an overview of machine learning -,266,https://doi.org/10.1080/01431161.2018.1433343
81,Machine Learning Methods for Histopathological Komura Ishikawa/7e355a8f42becb6648efc4cf0c129a7f560789be,"Computer Science, Medicine",4 September 2017,"We introduce the application of digital pathological image analysis using machine learning algorithms, address some problems specific to such analysis, and propose possible solutions.",261,https://www.ncbi.nlm.nih.gov/pubmed/30275936
82,Applied Machine Learning at Facebook%3A A Datacenter Hazelwood Bird/88a97c8ef539589c55a6fe869c243792e470d6a3,Computer Science,1 February 2018,We discovered several key factors that emerge at scale and drive decisions in the design of our datacenter infrastructure: the importance of co-locating data with compute.   ,229,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8327042
83,Manipulating Machine Learning%3A Poisoning Attacks Jagielski Oprea/efd7b7aafeb83b8a8d6fd90a35d6fb6a62f5f695,Computer Science,1 April 2018,We perform the first systematic study on poisoning attacks and their countermeasures for linear regression models.   ,227,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8418594
84,Machine learning %5C%26 artificial intelligence in the Dunjko Briegel/0cc6dbfd929bc816d507527993f55f9b4e88615d,"Physics, Computer Science",8 September 2017,   ,267,https://www.ncbi.nlm.nih.gov/pubmed/29504942
85,Next Generation Machine Learning for Biological Camacho Collins/d2c12b2e57d1262a3c8beb119bbadf596d7a116a,"Biology, Medicine",14 June 2018,   ,262,https://www.sciencedirect.com/science/article/pii/S0092867418305920?dgcid=api_sd_search-api-endpoint
86,Implementing Machine Learning in Health Care Char Shah/adfc508b9b3d4fc3903aa383a290dc68fb8bbe5a,Medicine,14 March 2018,   ,258,https://www.ncbi.nlm.nih.gov/pubmed/29539284
87,Introduction to machine learning Alpaydin/0359bba5112d472206d82ddb29947f2d634bb0cc,Computer Science,1 October 2004,"Introduction to Machine Learning is a comprehensive textbook on the subject, covering a broad array of topics not usually included in introductory",3705,
88,MoleculeNet%3A a benchmark for molecular machine See Wu Ramsundar/ab0a6b82c359ce6d4c2425080ffee632cb46fced,"Computer Science, Physics",2 March 2017,"A large scale benchmark for molecular machine learning consisting of multiple public datasets, metrics, featurizations and",214,https://www.ncbi.nlm.nih.gov/pubmed/29629118
89,The use of machine learning algorithms in systems%3A Portugal Alencar/2ac9e0d6e3bbb49953f5dcce186969f5b8726242,Computer Science,17 November 2015,This paper presents a systematic review of the literature that analyzes the use of machine learning algorithms in recommender systems and identifies research opportunities for software engineering research.,213,https://arxiv.org/pdf/1511.05263.pdf
90,Imbalanced learn%3A A Python Toolbox to Tackle the of Lemaitre Nogueira/05c5b732fb92546c7d6eeabfadb5c14610d07373,"Computer Science, Mathematics",21 September 2016,Imbalanced-learn is an open-source python toolbox aiming at providing a wide range of methods to cope with the problem of imbalanced dataset frequently encountered in machine learning .,642,https://arxiv.org/pdf/1609.06570.pdf
91,Hidden physics models%3A Machine learning of partial Raissi Karniadakis/2fd16119232846ff99e0583f4790f2083382bda0,"Computer Science, Mathematics",2 August 2017,"We introduce hidden physics models, which are essentially data-efficient learning machine s capable of leveraging the underlying laws of physics, expressed by time dependent and nonlinear partial differential equations, to extract patterns from high-dimensional data generated from experiments.",379,https://arxiv.org/pdf/1708.00588.pdf
92,Ensemble Methods in Machine Learning Dietterich/a0456c27cdd58f197032c1c8b4f304f09d4c9bc5,Computer Science,21 June 2000,Ensemble methods are learning  algorithms that construct a set of classifiers and then classify new data points by taking a (weighted) vote of their predictions.,5282,https://doi.org/10.1007/3-540-45014-9_1
93,Choosing Prediction Over Explanation in Psychology%3A Yarkoni Westfall/7c63a6e6d3b31b14ae4236bfbd574ea37cab18a7,"Psychology, Medicine",25 August 2017,   ,494,https://doi.org/10.1177/1745691617693393
94,Stealing Hyperparameters in Machine Learning Wang Gong/0f5476c9629f8093e8ba8c6a41868415c6a7f2f1,"Computer Science, Mathematics",14 February 2018,"Hyperparameters are critical in machine learning , as different hyperparameters often result in models with significantly different performance.",195,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8418595
95,Explaining Explanations%3A An Overview of of Machine Gilpin Bau/d7701e78e0bfc92b03a89582e80cfb751ac03f26,"Computer Science, Mathematics",31 May 2018,We describe foundational concepts of explainability and show how they can be used to classify existing literature.   ,454,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8631448
96,Programs for Machine Learning. Part I Hormann/a749fccbcfc0382f26789ce0b9a03fa98b9e608c,Computer Science,1 December 1962,This paper reports on a proposed schema and gives some detailed specifications for constructing a learning  system by means of programming a computer.,4814,https://doi.org/10.1016/S0019-9958%2862%2990649-6
97,A Review of Relational Machine Learning for Graphs Nickel Murphy/033f25ad905ef2ed32a8331cf38b83953ff15922,"Computer Science, Mathematics",2 March 2015,"We provide a review of how such statistical models can be trained on large knowledge graphs, and then used to predict new facts about the world (which is equivalent to predicting new edges in the graph).   ",852,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7358050
98,Transferability in Machine Learning%3A from Phenomena Papernot McDaniel/78aa018ee7d52360e15d103390ea1cdb3a0beb41,Computer Science,24 May 2016,"We introduce new transferability attacks between previously unexplored (substitute, victim) pairs of machine learning model classes, most notably SVMs and decision trees.",865,https://arxiv.org/pdf/1605.07277.pdf
99,Stealing Machine Learning Models via Prediction Tram%C3%A8r Zhang/d15b21bdd117877c2d0e865b17d6a336737aea99,"Computer Science, Mathematics",10 August 2016,"We demonstrate successful model extraction attacks against a wide variety of ML model types, including decision trees, logistic regressions, SVMs, and deep neural networks.   ",701,https://arxiv.org/pdf/1609.02943.pdf
100,Machine learning%3A Trends%2C perspectives%2C and Jordan Mitchell/d422df8bff4e677a3077635db116679d25142bfc,Medicine,17 July 2015,addresses the question of how to build computers that improve automatically through experience. Machine learning ,1658,https://doi.org/10.1126/science.aaa8415
